"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"attribute"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Locations, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA;"progressive / peredovyj / novyj / efficient"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Locations, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA;"changing / in a process of change"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Locations, Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA;"progressive / peredovyj / novyj / efficient"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Locations, Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA;"changing / in a process of change"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"progressive / peredovyj / novyj / efficient"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"changing / in a process of change"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"progressive / peredovyj / novyj / efficient"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"changing / in a process of change"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"progressive / peredovyj / novyj / efficient"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"changing / in a process of change"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"progressive / peredovyj / novyj / efficient"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"changing / in a process of change"
"gorodskoe naselenie Khoroga";"tadzhiki";"104979";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"pripamirskie narodnosti / narody / pripamircy";"Soviet Union";"110541";"1965_6";"Locations, Pamir groups";"present";"Factual Statement by Author";NA;"urban"
"pripamirskie narodnosti / narody / pripamircy";"Soviet Union";"110541";"1965_6";"Locations, Pamir groups";"present";"Factual Statement by Author";NA;"traditional / narodnyj / nacional'nyj"
"pripamirskie narodnosti / narody / pripamircy";"Soviet Union";"110541";"1965_6";"Locations, Pamir groups";"present";"Factual Statement by Author";NA;"modern / sovremennyj"
"pripamirskie narodnosti / narody / pripamircy";"Soviet Union";"110541";"1965_6";"Locations, Pamir groups";"present";"Factual Statement by Author";NA;"mixed / coexisting"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"mixed / coexisting"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"changing / in a process of change"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"modern / sovremennyj"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"progressive / peredovyj / novyj / efficient"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"urban"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"kul'turno / cultured"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"diverse / mnogoobrazno"
"Soviet Union";"tadzhiki";"110610";"1955_3";"Groups, Locations";"present";"Factual Statement by Author";"Rupture";"traditional / narodnyj / nacional'nyj"
"ravninnye tadzhiki";"uzbeki";"114181";"1970_1";"groups in plainland regions, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"developed / razvito"
"kirgizy";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kirgizy";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"polukochevye uzbeki";"turkmeny";"114366";"1970_1";"uzbeki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"polukochevye uzbeki";"turkmeny";"114366";"1970_1";"uzbeki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"karakalpaki";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"karakalpaki";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"polukochevye narody / narodnosti";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"polukochevye narody / narodnosti";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kazakhi";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kazakhi";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"kochevye narody";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
"kochevye narody";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"otstalyj / backward"
"gornye tadzhiki";"polukochevye uzbeki";"114366";"1970_1";"uzbeki, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"patriarchal"
