"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"tadzhiki gornoj zony juzhnogo Tadzhikistana";"tjurki v Afganskom Badakhshane";"10046";"1960_1";"gornye tadzhiki, tjurki";"past";"Factual Statement by Author";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"contact / connection (interpersonal, interethnic,...)"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"100828";"1965_6";"Pamir groups, Groups";"past";"Factual Statement by Author";"Continuity";"language / spoken (incl. dialects)";"proximity / similarity"
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"101435";"1965_6";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"external identification / designation";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Locations, Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenija";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"102750";"1955_3";"Locations, Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenija";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenija";"proximity / similarity"
"Central Asia / Srednjaja Azija";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Locations, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenija";"proximity / similarity"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenija";"proximity / similarity"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenija";"proximity / similarity"
"jazgulemcy";"tadzhiki";"102924";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"external identification / designation";"difference"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"102956";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"external identification / designation";"difference"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Tajikistan / TadzhSSR";"103732";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"trade / economic production";NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Soviet Union";"104126";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Soviet Union";"104126";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"infrastructure";NA
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"104947";"1989_5";"Pamir groups, Groups";NA;"Correction of cited research or literature";NA;"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"difference"
"gorodskoe naselenie Khoroga";"tadzhiki";"104979";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";NA
"gorodskoe naselenie Khoroga";"tadzhiki";"104979";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"byt / bytovyj uklad / every-day life practices";NA
"evrei / Jews";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"contact / connection (interpersonal, interethnic,...)"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"contact / connection (interpersonal, interethnic,...)"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"latyshi / Latvians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"contact / connection (interpersonal, interethnic,...)"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"osetiny / Ossetians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"contact / connection (interpersonal, interethnic,...)"
"evrei / Jews";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"contact / connection (interpersonal, interethnic,...)"
