"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"event_or_period"
"narody Srednej Azii i Kazakhstana";"tadzhiki";"127931";"1961_2";"Groups, Groups";NA;NA;NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"osedlye tadzhiki";"polukochevye uzbeki";"193421";"1969_2";"uzbeki, tadzhiki";"past";NA;NA;"process osedanija kochevnikov v konce XIX - nachale XX vv."
"russkij narod / Russians";"tadzhiki";"25403";"1960_2";"Groups, Groups";"past: pre-Soviet";NA;NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornye tadzhiki";"narody Srednej Azii";"257552";"1957_2";"groups in mountainous regions, narody Srednej Azii i Kazakhstana";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"Arabskoe zavoevanie Srednej Azii i vnedrenie islama"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"284450";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"prisoedinenie Vostochnoj Bukhary k Rossii"
"Goron";"Vakhan";"284450";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"prisoedinenie Vostochnoj Bukhary k Rossii"
"Goron";"Ishkashim / Ishkashimskij rajon";"284450";"1971_1";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO, Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"prisoedinenie Vostochnoj Bukhary k Rossii"
"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"zhensshiny Kuljaba / women of Kuljab";"289052";"1973_5";"groups in mountainous regions, Historical locations";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"gornye rajony Kuljabskoj oblasti";"Karategin";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornye rajony Kuljabskoj oblasti";"verkhovya Matchi";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"gornye rajony Kuljabskoj oblasti";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab, Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornye rajony Kuljabskoj oblasti";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab, Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"gornye rajony Kuljabskoj oblasti";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornaja chast' Gissary";"gornye rajony Kuljabskoj oblasti";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Karategin";"verkhovya Matchi";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Karategin";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornaja chast' Gissary";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"verkhovya Matchi";"292224";"1987_1";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"verkhovya Matchi";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"verkhovya Matchi";"292224";"1987_1";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornaja chast' Gissary";"verkhovya Matchi";"292224";"1987_1";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"Northern Tajikistan, Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"Ferghana / Ferganskaja dolina";"292224";"1987_1";"Northern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"gornaja chast' Gissary";"292224";"1987_1";"Northern Tajikistan, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"Historical locations, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornaja chast' Gissary";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"Historical locations, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"gornaja chast' Gissary";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"Karategin";"298880";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Northern Tajikistan";"past: pre-Soviet";NA;NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"gorcy Tadzhikistana / mountaineers of Tajikistan";"karategini Fergany / karategincy Fergany";"301592";"1987_1";"population of Ferghana, gornye tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Citation informant, local population, interviewee";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"population of Ferghana, groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"polukochevye uzbeki";"tadzhiki Surkhandar'inskoj oblasti (Uzbekistan)";"374113";"1970_2";"uzbeki, Tajiks outside the Tajik SSR";"past: pre-Soviet";"Factual Statement by Author";NA;"process osedanija kochevnikov v konce XIX - nachale XX vv."
"tadzhiki doliny Jakh-su";"tadzhiki Vakhio";"417025";"1954_3";"groups in mountainous regions, groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"pre-Soviet migration from highlands to lowlands"
"Ferghana / Ferganskaja dolina";"Karategin";"417695";"1954_3";"Northern Tajikistan, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"pre-Soviet migration from highlands to lowlands"
"Kuljabskaja oblast' / Kuljab";"vostochnaja chast' Bukharskogo khanstva";"422724";"1957_1";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat, Southern Tajikistan";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"Gissar";"vostochnaja chast' Bukharskogo khanstva";"422724";"1957_1";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat, Tajikistan / TadzhSSR";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"Gissar";"Kuljabskaja oblast' / Kuljab";"422724";"1957_1";"Southern Tajikistan, Tajikistan / TadzhSSR";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"tadzhiki Vostochnoj Bukhary (Bukharskoe khanstvo)";"436707";"1953_2";"Historical groups, Historical groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"tadzhiki Zeravshanskoj doliny";"437353";"1953_2";"Historical groups, tadzhiki";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"drevnjaja India";"mogoly";"458720";"1957_2";"Groups, Historical locations";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v."
"Central Asia / Srednjaja Azija";"mogoly";"458720";"1957_2";"Groups, Locations";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v."
"Central Asia / Srednjaja Azija";"drevnjaja India";"458720";"1957_2";"Historical locations, Locations";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v."
"Isfara";"Ura-Tjube";"49854";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"tadzhiki Nuratinskogo khrebta";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"54755";"1964_1";"groups in mountainous regions, Historical locations";"present";"Factual Statement by Author";"Continuity";"pre-Soviet migration from highlands to lowlands"
"Samarkand";"tadzhiki Nuratinskogo khrebta";"54755";"1964_1";"groups in mountainous regions, Uzbekistan / Uzbekskaja SSR";"present";"Factual Statement by Author";"Continuity";"pre-Soviet migration from highlands to lowlands"
"Samarkand";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"54755";"1964_1";"Historical locations, Uzbekistan / Uzbekskaja SSR";"present";"Factual Statement by Author";"Continuity";"pre-Soviet migration from highlands to lowlands"
"gornye tadzhiki";"uzbeki iz gornykh rajonov";"571824";"1954_4";"uzbeki, groups in mountainous regions";"past: Stalinist era / 1930s-40s";"Literature Review";"Continuity";"pre-Soviet migration from highlands to lowlands"
"gornye tadzhiki";"uzbeki iz gornykh rajonov";"571824";"1954_4";"uzbeki, groups in mountainous regions";"past: pre-Soviet";"Literature Review";"Continuity";"pre-Soviet migration from highlands to lowlands"
"rabochie-""cygane"" / pejorative exonym for Romani working class";"Tajik women / tadzhichki";"81861";"1962_3";"""cygane"" / pejorative exonym for the Romani people, tadzhiki";NA;"Factual Statement by Author";NA;"process osedanija kochevnikov v konce XIX - nachale XX vv."
"""Rossija"" / Russian Empire";"Tajikistan / TadzhSSR";"85337";"1955_3";"Locations, Historical locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Central Asia / Srednjaja Azija";"Tajikistan / TadzhSSR";"85337";"1955_3";"Locations, Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"""Rossija"" / Russian Empire";"Central Asia / Srednjaja Azija";"85337";"1955_3";"Historical locations, Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
