"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"tadzhiki";"changing / in a process of change";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki";"progressive / peredovyj / novyj / efficient";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki";"egalitarian / liberated";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki";"modern / sovremennyj";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture"
"Ferghana / Ferganskaja dolina";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA
"Ferghana / Ferganskaja dolina";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Northern Tajikistan";"present";"Correction of cited research or literature";NA
"Ferghana / Ferganskaja dolina";"changing / in a process of change";"102750";"1955_3";"Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA
"Ferghana / Ferganskaja dolina";"changing / in a process of change";"102750";"1955_3";"Northern Tajikistan";"present";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Locations";"past: early Soviet";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Locations";"present";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"changing / in a process of change";"102750";"1955_3";"Locations";"past: early Soviet";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"changing / in a process of change";"102750";"1955_3";"Locations";"present";"Correction of cited research or literature";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"changing / in a process of change";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"changing / in a process of change";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA
"gorodskoe naselenie Khoroga";"modern / sovremennyj";"104979";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"tadzhiki";"modern / sovremennyj";"104979";"1965_6";"Groups";"present";"Factual Statement by Author";NA
"pripamirskie narodnosti / narody / pripamircy";"traditional / narodnyj / nacional'nyj";"105431";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"pripamirskie narodnosti / narody / pripamircy";"mixed / coexisting";"105431";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"pripamirskie tadzhiki";"modern / sovremennyj";"107584";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie tadzhiki";"traditional / narodnyj / nacional'nyj";"107584";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie tadzhiki";"mixed / coexisting";"107584";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie tadzhiki";"changing / in a process of change";"107584";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";"Continuity"
"tadzhiki-vilojati / chagatai Varzoba / Varzob plainland Tajiks";"belligerent";"108276";"1969_5";"groups in plainland regions";"past: pre-Soviet";"Factual Statement by Author";NA
"kulobi Varzoba";"threatened / attacked / in need of protection";"108416";"1969_5";"naselenie bassejna r. Varzob";"past: pre-Soviet";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"feudal";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"pripamirskie narodnosti / narody / pripamircy";"urban";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"pripamirskie narodnosti / narody / pripamircy";"traditional / narodnyj / nacional'nyj";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"pripamirskie narodnosti / narody / pripamircy";"modern / sovremennyj";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"pripamirskie narodnosti / narody / pripamircy";"mixed / coexisting";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA
"Soviet Union";"urban";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"Soviet Union";"traditional / narodnyj / nacional'nyj";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"Soviet Union";"modern / sovremennyj";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
