"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"tjurki v Afganskom Badakhshane";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"10046";"1960_1";"tjurki";"past";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"tadzhiki gornoj zony juzhnogo Tadzhikistana";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"10046";"1960_1";"gornye tadzhiki";"past";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"pripamirskie narodnosti / narody / pripamircy";"language / spoken (incl. dialects)";"100828";"1965_6";"Pamiri groups";"past";"Factual Statement by Author";"Continuity";"proximity / similarity"
"tadzhiki";"language / spoken (incl. dialects)";"100828";"1965_6";"Groups";"past";"Factual Statement by Author";"Continuity";"proximity / similarity"
"vandzhcy / vandzhi / vanchcy";"language / spoken (incl. dialects)";"101108";"1965_6";"Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"vandzhcy / vandzhi / vanchcy";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"101108";"1965_6";"Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"vandzhcy / vandzhi / vanchcy";"trade / economic production";"101108";"1965_6";"Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"language / spoken (incl. dialects)";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"trade / economic production";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"family structure / semejnye otnoshenija";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"tadzhiki";"life on kolkhozes / kolkhoznoe krest'janstvo";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"tadzhiki";"gender relations / polozhenie zhensshiny";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"vandzhcy / vandzhi / vanchcy";"external identification / designation";"101435";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"external identification / designation";"101435";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"clothing";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture";NA
"tadzhiki";"life on kolkhozes / kolkhoznoe krest'janstvo";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture";NA
"tadzhiki";"housing / architecture / zhilisshe";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture";NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"102626";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"influence"
"jazgulemcy";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"102626";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"influence"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"family structure / semejnye otnoshenija";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA;"proximity / similarity"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"family structure / semejnye otnoshenija";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA;"proximity / similarity"
"Central Asia / Srednjaja Azija";"family structure / semejnye otnoshenija";"102750";"1955_3";"Locations";"past: early Soviet";"Correction of cited research or literature";NA;"proximity / similarity"
