"id";"label";"group"
"7246A3A2-3331-4709-930D-652C06552D40";"Groups";"Groups,Locations in Tajikistan [TJ]"
"BA7FCA2C-18CB-4B2E-BA15-BCEFBBD8D568";"Locations";"Groups,Locations in Tajikistan [TJ]"
"EFF68DFD-597C-480C-9EEB-9D0AAA9DDD7D";"Historical locations";"Locations"
"C7E6076B-4212-4E61-845F-56AEB02638B2";"Tajikistan / TadzhSSR";"Locations"
"DC29D1D7-74D3-4C17-93E8-15EF90250DDE";"Pamir";"Locations"
"C19A1993-0864-48D1-97EA-4A5A130EE197";"pripamirskie rajony / Pripamir'";"Locations"
"FC10E69A-5E66-4F74-82A8-F4152311D703";"Gorno-Badakhshan / GBAO";"Locations"
"4E8A6002-9F1F-467D-8E34-C5E08751702F";"Sovetskij Badakhshan / GBAO";"Locations"
"8C6E402F-DD6F-41E2-A565-28DE3A300774";"Pamir groups";"Groups"
"84D622A8-BBC9-4C93-9C23-F07B7A0C409D";"malochislennye etnograficheskie gruppy";"Groups"
"8B72BEDD-D80D-4F4C-A0DB-9BAFF697207C";"tadzhiki";"Groups"
"24A32306-E522-41A3-9E2D-55F4C6BDEDCC";"darvazcy";"Groups"
"0B404067-8703-4E62-877E-7AAEC016D447";"jagnobcy / Yaghnobis";"Groups"
"4AB08711-978E-4B6B-A4CE-B7823D207A8F";"lokajcy";"Groups"
"35699EDA-354C-4A1C-BF37-0E4FE4131721";"varzobcy / varzobi";"Groups"
"4D494BF5-AEFC-4E90-8823-7C7A0AA2ECF9";"kukhistoni Varzoba";"Groups"
"6367A3CF-2567-44E3-A8A1-7E00C1762D95";"kulobi Varzoba";"Groups"
"ADFF3C89-C680-4492-A120-3C9CD9C14EEF";"karategini Varzoba";"Groups"
"5582F339-7228-4DD4-92B4-AF15D71120CA";"naselenie Karataga";"Groups"
"66B13993-EB64-4260-AFA1-0A981CFC74E9";"gal'cha";"Groups"
"F63F2870-E33E-4A0A-B20E-1A0BEDD3340D";"gorcy Tadzhikistana";"Groups"
"62C5B16B-46A1-4053-B3A3-1663775FB5B6";"naselenie Leninabadskoj oblasti";"Groups"
"8A7F1DF8-6544-4E56-9012-A9FD3E59CD06";"naselenie doliny Khonakodar'i / gornoj Gissary";"Groups"
"235DB583-7C40-4987-A217-4C0332363B81";"naselenie dolinnoj Gissary";"Groups"
"FF59E60C-C02F-43C4-B291-B2FA38ABA34B";"naselenie dolin r. Isfary";"Groups"
"C54D214A-C025-4517-BC74-7CAD23FCF72A";"zhensshiny Darvaza";"Groups"
"7FB34DA1-EA66-4985-9067-56FF80555F80";"zhensshiny Karategina";"Groups"
"2211FEC8-04A1-472F-96B9-BD48307E943B";"zhensshiny Kuljaba";"Groups"
"9A71F5D6-0E2E-4764-A827-4DFBCBC3202D";"zhensshiny severnogo Tadzhikistana";"Groups"
"F23C32AD-C093-4EB7-9481-C013453789F2";"korennoe naselenie Fergany";"Groups"
"A3DB7BEA-3678-49F5-BE94-08C851065201";"maschoi Fergany";"Groups"
