"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"103732";"1965_6";"Pamir";"past: early Soviet";NA;NA
"Tajikistan / TadzhSSR";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"103732";"1965_6";"Locations";"past: early Soviet";NA;NA
"Soviet Union";"process urbanizacii / urbanizacija";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"tadzhiki";"process urbanizacii / urbanizacija";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture"
"Central Asia / Srednjaja Azija";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"massovye pereselenija / forced resettlements 1940s-early 1950s";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture"
"ravninnye oblasti Tadzh. / plainland regions of Tajikistan";"massovye pereselenija / forced resettlements 1940s-early 1950s";"115389";"1955_3";"Tajikistan / TadzhSSR";"present";"Factual Statement by Author";"Rupture"
"verkhovja Jagnoba / Yaghnob";"massovye pereselenija / forced resettlements 1960s - 1970s";"116085";"1989_5";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"present";"Factual Statement by Author";NA
"tadzhiki Nuratinskogo khrebta";"massovye pereselenija / forced resettlements late 1920s-1930s";"12129";"1964_1";"groups in mountainous regions";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"process urbanizacii / urbanizacija";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"Leninabadskij rajon / oblast' / kraj";"massovye pereselenija / forced resettlements late 1920s-1930s";"130301";"1990_2";"Northern Tajikistan";"past: early Soviet";"Factual Statement by Author";NA
"Golodnaja i Dal'verzinskaja step'";"process urbanizacii / urbanizacija";"131404";"1990_2";"plainland regions Northern Tajikistan";NA;"Factual Statement by Author";NA
"Golodnaja i Dal'verzinskaja step'";"massovye pereselenija / forced resettlements 1960s - 1970s";"131404";"1990_2";"plainland regions Northern Tajikistan";NA;"Factual Statement by Author";NA
"tadzhiki Jagnoba / Tajiks of Yaghnob";"process urbanizacii / urbanizacija";"131404";"1990_2";"groups in mountainous regions";NA;"Factual Statement by Author";NA
"tadzhiki Jagnoba / Tajiks of Yaghnob";"massovye pereselenija / forced resettlements 1960s - 1970s";"131404";"1990_2";"groups in mountainous regions";NA;"Factual Statement by Author";NA
"tadzhiki-matchincy";"process urbanizacii / urbanizacija";"131404";"1990_2";"groups in mountainous regions";NA;"Factual Statement by Author";NA
"tadzhiki-matchincy";"massovye pereselenija / forced resettlements 1960s - 1970s";"131404";"1990_2";"groups in mountainous regions";NA;"Factual Statement by Author";NA
