"id";"label";"group"
"ACA7A11D-9F41-41DC-826E-78A06AB2A8D4";"evropeoidno / Caucasian / Europoid (racial classification)";"Attributes [A]"
"9C4A3203-EC9D-4284-BF9D-7936056D35B9";"""chisto"" / pure / clean";"Attributes [A]"
"B454E304-4943-455D-8F89-561F06CC6171";"hospitable";"Attributes [A]"
"DCD52462-9916-4BE1-9E4C-6F2AAF427227";"polozhitel'no / positive";"Attributes [A]"
"1CD9344E-C1B7-4AB4-AFDF-EEF8FA06D6B7";"intelligent / smart";"Attributes [A]"
"8ABE9BCF-3AA4-4ED2-8CDD-C54CDFC0AE99";"urban";"Attributes [A]"
"6F058549-0410-49B4-8CCA-A77A8D58B1E3";"archaic / arkhaichno";"Attributes [A]"
"26284F9E-3D26-438C-9984-E48BAE85D80D";"druzheljubno / friendly";"Attributes [A]"
"39F3856C-D200-49DD-A542-ABA9F6290C51";"kul'turno / cultured";"Attributes [A]"
"64465ABE-E096-435D-BEAF-39E58C358F3E";"impoverished (culturally / spiritually)";"Attributes [A]"
"A29CBB87-9051-4246-B289-C7B7CE433333";"resistent / resisting";"Attributes [A]"
"4DD5E8AC-75CF-47CF-B689-C60F0917C030";"chauvinist / shovinisticheskij";"Attributes [A]"
"19A5B5BE-4743-4B37-B339-58E0D9285F59";"nationalist / nacionalisticheskij";"Attributes [A]"
"68542AB0-A95D-4364-BEE7-47CF083C2C06";"strong in conviction";"Attributes [A]"
"91809D2C-D9B1-4CD3-A16F-6AEF729F6AAD";"threatened / attacked / in need of protection";"Attributes [A]"
"6019F6D6-57D2-4CD6-8158-85B02249AAA9";"dragocennyj / valuable";"Attributes [A]"
"1A7DA3C3-FEAF-4741-B03B-C6165FED3E89";"vanishing / being replaced or erased";"Attributes [A]"
"A3E80DD8-31C9-4840-B41D-9B7336BEFDCB";"mixed / coexisting";"Attributes [A]"
"033B9503-1FE3-48DC-BCD8-27B6425C93EA";"changing / in a process of change";"Attributes [A]"
"E7081EC3-98E1-43AA-AD57-440E32155D27";"popular / valued by others";"Attributes [A]"
"779CDF1F-1057-4D7D-82C9-8EE707DFE289";"physically strong";"Attributes [A]"
"06AC9380-D968-45C5-BFD4-080D9DD58D20";"hard-working";"Attributes [A]"
"30BA0D62-28F8-46CF-9DED-3E1434844B7E";"underdeveloped (economy)";"Attributes [A]"
"CF155F21-7238-4292-A35F-B081D3112ECD";"regressive / reactionary";"Attributes [A]"
"7A35C2BD-B8D2-4D71-AAB2-59951AD068CF";"educated";"Attributes [A]"
"C4FBBD1A-DDE8-48BA-BA2F-EE798746914E";"unhealthy";"Attributes [A]"
"6E40FFD0-A723-4B0E-BF46-E3A03CB63D28";"local / no migration";"Attributes [A]"
"E7070B8D-6035-4AC9-96DE-74F87E7AEC26";"healthy";"Attributes [A]"
"13482766-8433-4163-915D-422E2998AF14";"democratic";"Attributes [A]"
"4115E215-F5D7-44A4-B8B0-EFE46166BD56";"growing (economy,  production)";"Attributes [A]"
"B82B0273-9E02-4168-B842-AD7B636388E2";"growing (population: mnogodetnost')";"Attributes [A]"
"DDD6A45A-8E12-43ED-83DD-35A478510CDD";"avtokhtonno / autochthonous";"Attributes [A]"
"EA8D2996-415E-403E-ADEA-4B3C2A869725";"ustoichivo / stable";"Attributes [A]"
"F9DCF194-938A-49A6-ABB1-23C09B3F8F1D";"samostojatel'no / independent";"Attributes [A]"
"DE168E10-65E3-473D-9236-6791CD8FECBC";"khorosho prisposobleno / well adapted";"Attributes [A]"
"BE2D6538-3FE9-43EA-B1AE-ACFC1CCBC82F";"active";"Attributes [A]"
"B76E255E-3F43-47C4-8FDC-2F753F2DBA16";"passive";"Attributes [A]"
"6BEAC76E-0F3A-4626-B8D3-66987539E32B";"unequal";"Attributes [A]"
"DBBA28CA-9E40-4CCE-A267-CCFFB3040E14";"zamknutyj (pro obraz zhizni) / secluded (lifestyle)";"Attributes [A]"
"5D2E8CCD-6FB8-4801-BC2E-D5C9DDF8540B";"hungry / lacking food";"Attributes [A]"
"0E0403EC-6118-42FF-98B7-387F8F8DBF57";"uneducated";"Attributes [A]"
"6A6267BF-E1DE-464D-9905-BEBA3661DC48";"suppressed / ugnetennyj / exploited / exploitative";"Attributes [A]"
"A9C7CCDC-5F20-4E9E-B888-DE36EA3E0920";"inhospitable / adverse conditions";"Attributes [A]"
"CA94D232-B2AB-4BF8-AA52-E75D1595B9CD";"malodokhodno / inefficient / un-economical";"Attributes [A]"
"FA3908B9-7A61-4E90-9398-2225D414C596";"flawed / in need of improvement";"Attributes [A]"
"A50DC852-356D-4581-BB35-C89619085F55";"zazhitochno / wealthy / prosperous";"Attributes [A]"
"461EA224-CBF9-47D8-82F3-0EC0E27077F8";"successful / uspeshno";"Attributes [A]"
"5AA22C4F-B897-47D5-B25C-9C59AD76B0C1";"zastojnyj / non-innovative";"Attributes [A]"
"127588A9-8861-48E7-A9B4-C49213A02D88";"innovative";"Attributes [A]"
"60FC373D-A15F-4611-9CEB-4FB8EFCAB874";"developed / razvito";"Attributes [A]"
"ABC08D16-4FB1-4597-986F-56ACA2464C10";"vredno / harmful";"Attributes [A]"
"FC0BEFF2-65C2-4AAD-83F8-DAE4819C9532";"obespechenno (material'noe blagosostojanie) / well off";"Attributes [A]"
"02DA1C4C-C849-44A1-BE5E-3C6DB2C4B0ED";"soznatel'no / class-conscious";"Attributes [A]"
"9E612365-62AB-4168-8F5F-F8D9652497CA";"zadavlenno social'noj prinizhennost'ju / socially disadvantaged";"Attributes [A]"
"302E96A2-50A2-4004-9901-1A3C19B3622C";"zadavlenno nuzhdoj / poverty-stricken";"Attributes [A]"
"F1E373AF-A8B5-4580-9B3E-79BA372FB59B";"zabito / battered";"Attributes [A]"
"F9221492-9753-4A9F-AB0B-96B0B968F99C";"temno / dark";"Attributes [A]"
"129AD19E-2EC5-4A33-801E-A13AA2C1DB13";"matriarchal";"Attributes [A]"
"8C68583A-A2B9-48DD-AA2D-64F81E955689";"poor / impoverished";"Attributes [A]"
"E6D6DDE4-435F-42B1-A7C1-78FB45FE8894";"otstalyj / backward";"Attributes [A]"
"9070CB14-8465-431D-A013-15637632AAAF";"isolated / otdalennyj / trudnodostupnyj";"Attributes [A]"
"912A43E9-F56F-42C9-8471-BD343E9CCE40";"diverse / mnogoobrazno";"Attributes [A]"
"319D1656-715A-4FAE-9FD8-2ECB5FF28864";"unique / locally specific / svoeobraznyj / samobytnyj";"Attributes [A]"
"CF23F9AB-CB29-48EE-A790-BB996328272D";"undemocratic / hierarchical / despotic";"Attributes [A]"
"696D8DB5-FCE8-4520-BDAE-0C228CD8EE34";"atheist / non-spiritual / materialist";"Attributes [A]"
"8152BE39-079E-4778-9838-B0D523816F33";"superstitious";"Attributes [A]"
"DBACBA30-A011-4EBD-B04E-43DB69962B40";"religious";"Attributes [A]"
"8FD321A3-2850-44D8-B07E-957F5C0B9162";"zoroastrijskij / Zoroastrian";"Attributes [A]"
"D0D830A7-4135-416D-8B7B-EB0CA5D6EBEF";"Muslim";"Attributes [A]"
"B564FF13-DDB3-4BEB-B9B8-046224AD5299";"collectivist";"Attributes [A]"
"679E43D2-B478-4072-B6F4-84DE8154F6AD";"egalitarian / liberated";"Attributes [A]"
"7AEE0D39-4A7B-4C5A-A202-4ABD4179FE66";"modern / sovremennyj";"Attributes [A]"
"A5CEBA9A-0214-49A0-9144-369FF5AA6EF4";"patriarchal";"Attributes [A]"
"EB0E0B0C-DC16-490E-9502-18EB88D18212";"feudal";"Attributes [A]"
"BD474C5D-7EA6-4E9D-A349-D1D5D77CBF58";"progressive / progressivnyj";"Attributes [A]"
"FCA34060-DEAD-4FA1-8BD9-ECA422DF2D10";"progressive / peredovyj / novyj / efficient";"Attributes [A]"
"BCA76CE9-4AED-4E06-B0A5-08CE3E2FC1DE";"disloyal / suspect";"Attributes [A]"
"3B976E00-0831-4376-8D07-D072718507E7";"loyal / trustworthy";"Attributes [A]"
"81FAA117-2031-4EC5-BECB-0A2099C76F2F";"peaceful";"Attributes [A]"
"7FB40E42-A87D-4D64-8307-782FE27A1A75";"belligerent";"Attributes [A]"
"34BCA131-2A25-45CC-A526-55E37EC39208";"traditional / narodnyj / nacional'nyj";"Attributes [A]"
"BFCBC53D-FA7D-4993-BE7A-AAED2CC44D6B";"primitive / primitivno";"Attributes [A]"
