"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"Central Asia / Srednjaja Azija";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Locations";"past: early Soviet";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"progressive / peredovyj / novyj / efficient";"102750";"1955_3";"Locations";"present";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"changing / in a process of change";"102750";"1955_3";"Locations";"past: early Soviet";"Correction of cited research or literature";NA
"Central Asia / Srednjaja Azija";"changing / in a process of change";"102750";"1955_3";"Locations";"present";"Correction of cited research or literature";NA
"narody Srednej Azii i Kazakhstana";"feudal";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Soviet Union";"mixed / coexisting";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"Soviet Union";"traditional / narodnyj / nacional'nyj";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"Soviet Union";"modern / sovremennyj";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"Soviet Union";"urban";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA
"Soviet Union";"changing / in a process of change";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"progressive / peredovyj / novyj / efficient";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"kult'turno";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"diverse / mnogoobrazno";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"modern / sovremennyj";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"urban";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"traditional / narodnyj / nacional'nyj";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Soviet Union";"mixed / coexisting";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"uzbeki";"developed / razvito";"114181";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"kochevye narody";"patriarchal";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"kochevye narody";"otstalyj";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"kazakhi";"patriarchal";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"kazakhi";"otstalyj";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"kirgizy";"patriarchal";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"kirgizy";"otstalyj";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"turkmeny";"patriarchal";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"turkmeny";"otstalyj";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye narody / narodnosti";"patriarchal";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye narody / narodnosti";"otstalyj";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"karakalpaki";"patriarchal";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"karakalpaki";"otstalyj";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye uzbeki";"patriarchal";"114366";"1970_1";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye uzbeki";"otstalyj";"114366";"1970_1";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA
"polukochevye uzbeki";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"osedlye uzbeki";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"polukochevye uzbeki Fergany (Tajikistan)";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"karakalpaki Fergany";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"karakalpaki";NA;"Factual Statement by Author";NA
"osedlye uzbeki Fergany (Tajikistan)";"traditional / narodnyj / nacional'nyj";"124201";"1971_4";"uzbeki";NA;"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"growing (economy,  production)";"127931";"1961_2";"Groups";NA;NA;NA
"narody Srednej Azii i Kazakhstana";"changing / in a process of change";"127931";"1961_2";"Groups";NA;NA;NA
"uzbeki Khorezma";"atheist / non-spiritual / materialist";"128546";"1982_5";"uzbeki";"present";"Factual Statement by Author";NA
"kirgizy";"atheist / non-spiritual / materialist";"128546";"1982_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"progressive / progressivnyj";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"unique / locally specific / svoeobraznyj / samobytnyj";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"egalitarian / liberated";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"narody Srednej Azii i Kazakhstana";"changing / in a process of change";"131740";"1971_4";"Groups";"present";"Factual Statement by Author";NA
"byvshie musul'manskie regiony SSSR";"regressive / reactionary";"132418";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA
"byvshie musul'manskie regiony SSSR";"regressive / reactionary";"132618";"1986_2";"Historical locations";"present";"Factual Statement by Author";NA
"drevnee evropeoidnoe naselenie";"evropeidno";"143569";"1967_5";"Historical groups";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Uzbek women / uzbechki";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"uzbeki";"present";"Factual Statement by Author";NA
"kurdskie zhensshiny / Kurdish women";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"kurdy / Kurds";"present";"Factual Statement by Author";NA
"azerbajdzhanskie zhensshiny";"traditional / narodnyj / nacional'nyj";"169822";"1963_2";"azerbajdzhancy";"present";"Factual Statement by Author";NA
"Kyrgyz women / kirgizki";"modern / sovremennyj";"171956";"1982_5";"kirgizy";"present";"Factual Statement by Author";NA
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"growing (population: mnogodetnost')";"18871";"1985_1";"Groups";"present";"Factual Statement by Author";NA
"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"local / no migration";"18871";"1985_1";"Groups";"present";"Factual Statement by Author";NA
"russkij narod / Russians";"modern / sovremennyj";"20325";"1962_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"russkij narod / Russians";"modern / sovremennyj";"20325";"1962_6";"Groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"russkij narod / Russians";"urban";"20325";"1962_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"russkij narod / Russians";"urban";"20325";"1962_6";"Groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"Groups";"past: pre-Muslim";"Factual Statement by Author";"Continuity"
"persy / iranojazychnye narody / Persian-/Iranian-speaking world";"traditional / narodnyj / nacional'nyj";"225450";"1957_2";"Groups";"present";"Factual Statement by Author";"Continuity"
"kirgizy vostochnogo Pamira";"changing / in a process of change";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"flawed / in need of improvement";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"atheist / non-spiritual / materialist";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"kirgizy vostochnogo Pamira";"mixed / coexisting";"230822";"1959_4";"kirgizy";"present";"Factual Statement by Author";NA
"uzbeki";"modern / sovremennyj";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"egalitarian / liberated";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"traditional / narodnyj / nacional'nyj";"236833";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"traditional / narodnyj / nacional'nyj";"238816";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"mixed / coexisting";"238816";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"democratic";"238816";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"modern / sovremennyj";"238816";"1989_4";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"russkij narod / Russians";"modern / sovremennyj";"2392";"1964-6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
