"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"tjurki v Afganskom Badakhshane";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"10046";"1960_1";"tjurki";"past";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"Central Asia / Srednjaja Azija";"family structure / semejnye otnoshenija";"102750";"1955_3";"Locations";"past: early Soviet";"Correction of cited research or literature";NA;"proximity / similarity"
"Central Asia / Srednjaja Azija";"family structure / semejnye otnoshenija";"102750";"1955_3";"Locations";"present";"Correction of cited research or literature";NA;"proximity / similarity"
"Soviet Union";"infrastructure";"104126";"1965_6";"Locations";"past: early Soviet";NA;NA;NA
"Soviet Union";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104126";"1965_6";"Locations";"past: early Soviet";NA;NA;NA
"russkij narod / Russians";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"osetiny / Ossetians";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"evrei / Jews";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"latyshi / Latvians";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"narody Srednej Azii i Kazakhstana";"byt / bytovyj uklad / every-day life practices";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"narody Srednej Azii i Kazakhstana";"mode of production / khozjajsvennyj uklad / economic system";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Soviet Union";"zemledelie / sel'skoe khosjajstvo / agriculture";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Soviet Union";"material'naja kul'tura / material culture";"110541";"1965_6";"Locations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"Soviet Union";"music";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"clothing";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"housing / architecture / zhilisshe";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"art / painting / zhivopis' / iskusstvo";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"Soviet Union";"family structure / semejnye otnoshenija";"110860";"1965_6";"Locations";"present";"Factual Statement by Author";NA;"difference"
"russkij narod / Russians";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"111364";"1955_3";"Groups";NA;"Factual Statement by Author";NA;"influence"
"Central Asia / Srednjaja Azija";"byt / bytovyj uklad / every-day life practices";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Central Asia / Srednjaja Azija";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Central Asia / Srednjaja Azija";"mode of production / khozjajsvennyj uklad / economic system";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Afghanistan";"language / literaturnyj";"112879";"1989_5";"Locations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"durmeny Tadzhikistana";"sadovodstvo / horticulture";"113224";"1963_1";"uzbeki";NA;"Factual Statement by Author";NA;"knowledge exchange"
"durmeny Tadzhikistana";"sadovodstvo / horticulture";"113224";"1963_1";"uzbeki";NA;"Factual Statement by Author";NA;"influence"
"drevnjaja India";"obychai / customs";"113670";"1989_5";"Historical locations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"drevnjaja India";"verovanija / mify / beliefs / myths";"113670";"1989_5";"Historical locations";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tjurki";"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"113891";"1989_5";"Groups";NA;NA;NA;"difference"
"uzbeki";"mode of production / khozjajsvennyj uklad / economic system";"114181";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kochevye narody";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kazakhi";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"turkmeny";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Central Asian titular nations";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye narody / narodnosti";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"karakalpaki";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"polukochevye uzbeki";"mode of production / khozjajsvennyj uklad / economic system";"114366";"1970_1";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA;"proximity / similarity"
"uzbeki";"mozaichnost' / ethnic heterogeneity";"114745";"1976_2";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"narody Gindukusha";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"114772";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"karakalpaki";"child birth / obychai i obrjady svjazannye s rozhdeniem";"118451";"1963_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"karakalpaki";"magicheskie obrjady / praktiki / magic rites / practices";"118451";"1963_5";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"kazakhi";"child birth / obychai i obrjady svjazannye s rozhdeniem";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"kazakhi";"magicheskie obrjady / praktiki / magic rites / practices";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"child birth / obychai i obrjady svjazannye s rozhdeniem";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
"kirgizy";"magicheskie obrjady / praktiki / magic rites / practices";"118451";"1963_5";"Central Asian titular nations";"present";"Factual Statement by Author";NA;"proximity / similarity"
