"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"narrative"
"osetiny / Ossetians";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"latyshi / Latvians";"russkij narod / Russians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"osetiny / Ossetians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"latyshi / Latvians";"osetiny / Ossetians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"evrei / Jews";"latyshi / Latvians";"107066";"1962_3";"Groups, Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"slijanie / sblizhenie / fusion / convergence"
"karakalpaki";"kazakhi";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"kirgizy";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"uzbeki";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"karakalpaki";"turkmeny";"118451";"1963_5";"Groups, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"kirgizy";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kazakhi";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"turkmeny";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"turkmeny";"uzbeki";"118451";"1963_5";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"kirgizy";"uzbeki Khorezma";"128546";"1982_5";"Central Asian titular nations, uzbeki";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"battle against perezhitki / survivals"
"Central Asia / Srednjaja Azija";"Kazakhstan / Kazakhskaja SSR";"130993";"1971_4";"Locations, Locations";"present";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"tjurkojazychnye narody";"132732";"1990_2";"Groups in Iran, tjurki";NA;NA;NA;"estestvennaja assimilacija / natural assimilation"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175264";"1985_2";"turkmeny, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"raskreposshenie zhensshin / liberation of women"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175264";"1985_2";"turkmeny, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"modernization / socialist progress"
"Turkmen women / turkmenki";"Uzbek women / uzbechki";"175801";"1985_2";"turkmeny, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Russians in Central Asia";"Uzbek women / uzbechki";"175801";"1985_2";"russkij narod / Russians, uzbeki";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"Russians in Central Asia";"Turkmen women / turkmenki";"175801";"1985_2";"russkij narod / Russians, turkmeny";"present";"Citation other sources of knowledge: f.e. statistics";NA;"vyravnivanie korenykh nacional'nostej sojuznykh respublik"
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed modernization"
"turkmeny";"uzbeki";"176214";"1985_2";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"failed raskreposshenie zhensshin / failed liberation of women"
"tjurki doliny Kzyl-Su";"tjurki doliny Yakh-Su";"27793";"1960_1";"tjurki, tjurki";"present";NA;NA;"slijanie / sblizhenie / fusion / convergence"
"Karakalpakija";"Uzbekistan / Uzbekskaja SSR";"277942";"1964-5";"Locations, Locations";"past: early Soviet";"Literature Review";NA;"modernization / socialist progress"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"modernization / socialist progress"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"slijanie / sblizhenie / fusion / convergence"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"socialist internationalism / druzhba narodov"
"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Turkmenii";"285473";"1970_4";"gorodskoe naselenie Srednej Azii, gorodskoe naselenie Srednej Azii";"past: early Soviet";"Factual Statement by Author";NA;"battle against religion"
