"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"narody Srednej Azii i Kazakhstana";"prisoedinenie Central'noj / Srednej Azii k Rossii";"109867";"1971_4";"Groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Srednej Azii i Kazakhstana";"prisoedinenie Central'noj / Srednej Azii k Rossii";"127931";"1961_2";"Groups";NA;NA;NA
"polukochevye uzbeki";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"193421";"1969_2";"uzbeki";"past";NA;NA
"russkij narod / Russians";"prisoedinenie Central'noj / Srednej Azii k Rossii";"25403";"1960_2";"Groups";"past: pre-Soviet";NA;NA
"narody Srednej Azii";"Arabskoe zavoevanie Srednej Azii i vnedrenie islama";"257552";"1957_2";"narody Srednej Azii i Kazakhstana";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA
"polukochevye uzbeki";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"374113";"1970_2";"uzbeki";"past: pre-Soviet";"Factual Statement by Author";NA
"Central Asia / Srednjaja Azija";"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v.";"458720";"1957_2";"Locations";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"mogoly";"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v.";"458720";"1957_2";"Groups";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"drevnjaja India";"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v.";"458720";"1957_2";"Historical locations";"past: pre-Islamic / pre-Arab conquest";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Srednej Azii";"Arabskoe zavoevanie Srednej Azii i vnedrenie islama";"464008";"1957_2";"narody Srednej Azii i Kazakhstana";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"narody Srednej Azii";"Arabskoe zavoevanie Srednej Azii i vnedrenie islama";"464218";"1957_2";"narody Srednej Azii i Kazakhstana";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Samarkand";"pre-Soviet migration from highlands to lowlands";"54755";"1964_1";"Uzbekistan / Uzbekskaja SSR";"present";"Factual Statement by Author";"Continuity"
"uzbeki iz gornykh rajonov";"pre-Soviet migration from highlands to lowlands";"571824";"1954_4";"uzbeki";"past: Stalinist era / 1930s-40s";"Literature Review";"Continuity"
"uzbeki iz gornykh rajonov";"pre-Soviet migration from highlands to lowlands";"571824";"1954_4";"uzbeki";"past: pre-Soviet";"Literature Review";"Continuity"
"rabochie-""cygane"" / pejorative exonym for Romani working class";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"81861";"1962_3";"""cygane"" / pejorative exonym for the Romani people";NA;"Factual Statement by Author";NA
"""Rossija"" / Russian Empire";"prisoedinenie Central'noj / Srednej Azii k Rossii";"85337";"1955_3";"Historical locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Central Asia / Srednjaja Azija";"prisoedinenie Central'noj / Srednej Azii k Rossii";"85337";"1955_3";"Locations";NA;"Citation Research, Secondary Literature, doklad, soobsshenie";NA
