"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"Soviet Union";"process urbanizacii / urbanizacija";"110610";"1955_3";"Locations";"present";"Factual Statement by Author";"Rupture"
"Central Asia / Srednjaja Azija";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"111704";"1971_4";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"russkij narod / Russians";"process urbanizacii / urbanizacija";"20325";"1962_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"russkij narod / Russians";"process urbanizacii / urbanizacija";"20325";"1962_6";"Groups";"past: Stalinist era / 1930s-40s";"Factual Statement by Author";NA
"turkmeny";"process urbanizacii / urbanizacija";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kazakhi";"process urbanizacii / urbanizacija";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"kirgizy";"process urbanizacii / urbanizacija";"29354";"1962_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"russkij narod / Russians";"Establishment of trust ""Tadzhikzoloto"" early 1930s";"348724";"1971_2";"Groups";"past: early Soviet";"Factual Statement by Author";"Rupture"
"kirgizy";"perekhod k osedlosti Sredneaziatskikh kochevnikov nachalo XXv.";"35574";"1964-6";"Central Asian titular nations";NA;NA;NA
"Uzbekistan / Uzbekskaja SSR";"process urbanizacii / urbanizacija";"364182";"1984_3";"Locations";"present";"Factual Statement by Author";NA
"Kazakhstan / Kazakhskaja SSR";"process urbanizacii / urbanizacija";"364182";"1984_3";"Locations";"present";"Factual Statement by Author";NA
"Kirgizija / Kirgizskaja SSR";"process urbanizacii / urbanizacija";"364182";"1984_3";"Locations";"present";"Factual Statement by Author";NA
"uzbeki";"process nacional'noj konsolidacii tadzhikskogo naroda";"375867";"1971_6";"Central Asian titular nations";"present";"Factual Statement by Author";NA
"uzbeki";"process nacional'noj konsolidacii tadzhikskogo naroda";"375867";"1971_6";"Central Asian titular nations";"past: early Soviet";"Factual Statement by Author";NA
"russkij narod / Russians";"process nacional'noj konsolidacii tadzhikskogo naroda";"376772";"1971_6";"Groups";"present";"Factual Statement by Author";NA
"russkij narod / Russians";"process nacional'noj konsolidacii tadzhikskogo naroda";"376772";"1971_6";"Groups";"past: early Soviet";"Factual Statement by Author";NA
"uzbeki";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"379619";"1966_1";"Central Asian titular nations";"past: early Soviet";NA;"Rupture"
"turkmeny";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"379619";"1966_1";"Central Asian titular nations";"past: early Soviet";NA;"Rupture"
"kirgizy";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"379619";"1966_1";"Central Asian titular nations";"past: early Soviet";NA;"Rupture"
"kirgizy Karategina";"perekhod k osedlosti Sredneaziatskikh kochevnikov nachalo XXv.";"392426";"1984_4";"kirgizy";"past: pre-Soviet";"Factual Statement by Author";NA
"kirgizy Karategina";"perekhod k osedlosti Sredneaziatskikh kochevnikov nachalo XXv.";"408581";"1984_4";"kirgizy";"past: pre-Soviet";"Factual Statement by Author";NA
"Soviet Union";"gody kollektivizacii";"419734";"1954_3";"Locations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"uzbeki";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x";"478446";"1989_1";"Central Asian titular nations";"past: early Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tjurkskie narody";"process urbanizacii / urbanizacija";"51063";"1983_6";"Groups";"present";NA;NA
"cities in contemporary Afghanistan";"process urbanizacii / urbanizacija";"53248";"1982_3";"Afghanistan";"present";"Factual Statement by Author";NA
"uzbeki iz gornykh rajonov";"massovye pereselenija / forced resettlements late 1920s-1930s";"571824";"1954_4";"uzbeki";"past: pre-Soviet";"Literature Review";"Continuity"
"uzbeki iz gornykh rajonov";"massovye pereselenija / forced resettlements late 1920s-1930s";"571824";"1954_4";"uzbeki";"past: Stalinist era / 1930s-40s";"Literature Review";"Continuity"
"uzbeki iz gornykh rajonov";"massovye pereselenija / forced resettlements 1940s-early 1950s";"571824";"1954_4";"uzbeki";"past: pre-Soviet";"Literature Review";"Continuity"
"uzbeki iz gornykh rajonov";"massovye pereselenija / forced resettlements 1940s-early 1950s";"571824";"1954_4";"uzbeki";"past: Stalinist era / 1930s-40s";"Literature Review";"Continuity"
"tjurki";"process nacional'noj konsolidacii tadzhikskogo naroda";"573111";"1954_4";"Groups";NA;"Literature Review";NA
