"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"relation"
"tadzhiki gornoj zony juzhnogo Tadzhikistana";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"10046";"1960_1";"gornye tadzhiki";"past";"Factual Statement by Author";NA;"contact / connection (interpersonal, interethnic,...)"
"tadzhiki";"language / spoken (incl. dialects)";"100828";"1965_6";"Groups";"past";"Factual Statement by Author";"Continuity";"proximity / similarity"
"pripamirskie narodnosti / narody / pripamircy";"language / spoken (incl. dialects)";"100828";"1965_6";"Pamiri groups";"past";"Factual Statement by Author";"Continuity";"proximity / similarity"
"vandzhcy / vandzhi / vanchcy";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"101108";"1965_6";"Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"vandzhcy / vandzhi / vanchcy";"language / spoken (incl. dialects)";"101108";"1965_6";"Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"vandzhcy / vandzhi / vanchcy";"trade / economic production";"101108";"1965_6";"Pamiri groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"language / spoken (incl. dialects)";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"trade / economic production";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA;NA
"tadzhiki";"family structure / semejnye otnoshenija";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"tadzhiki";"life on kolkhozes / kolkhoznoe krest'janstvo";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"tadzhiki";"gender relations / polozhenie zhensshiny";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";NA
"tadzhiki";"external identification / designation";"101435";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"vandzhcy / vandzhi / vanchcy";"external identification / designation";"101435";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"clothing";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture";NA
"tadzhiki";"life on kolkhozes / kolkhoznoe krest'janstvo";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture";NA
"tadzhiki";"housing / architecture / zhilisshe";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture";NA
"jazgulemcy";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"102626";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"influence"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"102626";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"influence"
"Ferghana / Ferganskaja dolina";"family structure / semejnye otnoshenija";"102750";"1955_3";"Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"proximity / similarity"
"Ferghana / Ferganskaja dolina";"family structure / semejnye otnoshenija";"102750";"1955_3";"Northern Tajikistan";"present";"Correction of cited research or literature";NA;"proximity / similarity"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"family structure / semejnye otnoshenija";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA;"proximity / similarity"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"family structure / semejnye otnoshenija";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA;"proximity / similarity"
"jazgulemcy";"external identification / designation";"102924";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"external identification / designation";"102924";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"difference"
"pripamirskie narodnosti / narody / pripamircy";"external identification / designation";"102956";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"external identification / designation";"102956";"1965_6";"Groups";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"103286";"1965_6";"Groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"tadzhiki";"language / spoken (incl. dialects)";"103286";"1965_6";"Groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"narodnosti Zapadnogo Pamira";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"103286";"1965_6";"Pamiri groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"narodnosti Zapadnogo Pamira";"language / spoken (incl. dialects)";"103286";"1965_6";"Pamiri groups";"past: early Soviet";"Factual Statement by Author";"Continuity";NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"trade / economic production";"103732";"1965_6";"Pamir";"past: early Soviet";NA;NA;NA
"Tajikistan / TadzhSSR";"trade / economic production";"103732";"1965_6";"Locations";"past: early Soviet";NA;NA;NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104126";"1965_6";"Pamir";"past: early Soviet";NA;NA;NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"infrastructure";"104126";"1965_6";"Pamir";"past: early Soviet";NA;NA;NA
"pripamirskie narodnosti / narody / pripamircy";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"104947";"1989_5";"Pamiri groups";NA;"Correction of cited research or literature";NA;"difference"
"tadzhiki";"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"104947";"1989_5";"Groups";NA;"Correction of cited research or literature";NA;"difference"
"gorodskoe naselenie Khoroga";"byt / bytovyj uklad / every-day life practices";"104979";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"gorodskoe naselenie Khoroga";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104979";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"tadzhiki";"byt / bytovyj uklad / every-day life practices";"104979";"1965_6";"Groups";"present";"Factual Statement by Author";NA;NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"104979";"1965_6";"Groups";"present";"Factual Statement by Author";NA;NA
"Tajikistan / TadzhSSR";"life on kolkhozes / kolkhoznoe krest'janstvo";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Tajikistan / TadzhSSR";"dukhovnaja kul'tura / spiritual culture";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"Tajikistan / TadzhSSR";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"housing / architecture / zhilisshe";"105431";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"interior design / ubranstvo";"105431";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;NA
"Tajik women / tadzhichki";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"contact / connection (interpersonal, interethnic,...)"
"pripamirskie tadzhiki";"clothing";"107584";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";"Continuity";NA
"tadzhiki-vilojati / chagatai Varzoba / Varzob plainland Tajiks";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"109024";"1969_5";"groups in plainland regions";"past: early Soviet";NA;NA;"contact / connection (interpersonal, interethnic,...)"
"kulobi Varzoba";"intermarriages / mezhnacional'nye / mezhetnicheskie braki";"109024";"1969_5";"naselenie bassejna r. Varzob";"past: early Soviet";NA;NA;"contact / connection (interpersonal, interethnic,...)"
"pripamirskie narodnosti / narody / pripamircy";"zemledelie / sel'skoe khosjajstvo / agriculture";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"pripamirskie narodnosti / narody / pripamircy";"material'naja kul'tura / material culture";"110541";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"clothing";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"housing / architecture / zhilisshe";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"art / painting / zhivopis' / iskusstvo";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"tadzhiki";"music";"110610";"1955_3";"Groups";"present";"Factual Statement by Author";"Rupture";"proximity / similarity"
"pripamirskie narodnosti / narody / pripamircy";"family structure / semejnye otnoshenija";"110860";"1965_6";"Pamiri groups";"present";"Factual Statement by Author";NA;"difference"
"Turkestan / Turkestanskij kraj / general-gubernatorstvo";"mode of production / khozjajsvennyj uklad / economic system";"110998";"1971_4";"Historical locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"family structure / semejnye otnoshenija";"111043";"1965_6";"Pamiri groups";NA;"Factual Statement by Author";NA;NA
"tadzhiki";"kul'tura / kul'turnye tradicii / culture / cultural traditions";"111364";"1955_3";"Groups";NA;"Factual Statement by Author";NA;"influence"
"pripamirskie narodnosti / narody / pripamircy";"identity / self-description / samonazvanie / samosoznanie";"112351";"1965_6";"Pamiri groups";"present";"Citation other sources of knowledge: f.e. statistics";NA;"proximity / similarity"
"tadzhiki";"identity / self-description / samonazvanie / samosoznanie";"112351";"1965_6";"Groups";"present";"Citation other sources of knowledge: f.e. statistics";NA;"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"proizvodstvennye otnoshenija / relations of production";"112630";"1989_4";"Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"difference"
"tadzhiki v SSSR";"proizvodstvennye otnoshenija / relations of production";"112630";"1989_4";"Tajiks outside the Tajik SSR";"present";"Factual Statement by Author";NA;"difference"
"bartangidzh";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"bartangcy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"shugnancy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"jazgulemcy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"zgamik";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"khugni";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"rukhni";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"ishkashimcy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"ishkoshumi";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"vakhancy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"khik/vakhi";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"tadzhiki";"language / spoken (incl. dialects)";"112786";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"difference"
"rushancy";"language / spoken (incl. dialects)";"112786";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"difference"
"bartangcy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"bartangidzh";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"shugnancy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"jazgulemcy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"zgamik";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"rushancy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"khugni";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"ishkashimcy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"ishkoshumi";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"vakhancy";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"khik/vakhi";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"tadzhiki";"language / literaturnyj";"112879";"1989_5";"Groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"rukhni";"language / literaturnyj";"112879";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"osedlye tadzhiki";"sadovodstvo / horticulture";"113224";"1963_1";"tadzhiki";NA;"Factual Statement by Author";NA;"influence"
"osedlye tadzhiki";"sadovodstvo / horticulture";"113224";"1963_1";"tadzhiki";NA;"Factual Statement by Author";NA;"knowledge exchange"
"pamircy";"obychai / customs";"113670";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
"pamircy";"verovanija / mify / beliefs / myths";"113670";"1989_5";"Pamiri groups";NA;"Factual Statement by Author";NA;"proximity / similarity"
