"id";"label";"group"
"E7294883-673A-4336-AAA7-B3343AF0DAD6";"Groups";"Groups,Locations in Tajikistan [TJ]"
"6968185A-B675-4B44-A19E-5C92EC3A1A2D";"Locations";"Groups,Locations in Tajikistan [TJ]"
"A3589C2F-3E0E-4CFB-8F7B-D07A6EC764C2";"Historical locations";"Locations"
"2971BCEA-9684-403B-99E0-CF3D7DB29A5F";"Tajikistan / TadzhSSR";"Locations"
"E3379088-05A4-476A-8C00-32439BB45355";"Pamir";"Locations"
"39E31D00-D7CB-4ABD-A019-F69DE5A284A6";"Pamiri groups";"Groups"
"806A6BDE-C9D8-4742-97C1-D3E097E84C77";"malochislennye etnograficheskie gruppy";"Groups"
"F25CA4AA-6330-4607-86CF-2F19EEC57055";"tadzhiki";"Groups"
"F731ED33-7F75-457D-93B7-AF568C2A71F6";"groups in plainland regions";"Groups"
"730435E3-0733-46A4-A9B0-394AE93402A6";"groups in mountainous regions";"Groups"
"1F88DCE9-8AB9-44AA-8CB6-27ED37D5CBE5";"Tajiks outside the Tajik SSR";"Groups"
"B82C923B-C589-4D8B-8DCB-A35E46CCD8A4";"naselenie Leninabadskoj oblasti";"Groups"
"E310DB18-6B3A-4C17-B841-BA1CC476E416";"naselenie Karataga";"Groups"
"D57BBD0F-2EEE-4DF5-B52B-EB90B9C40A79";"naselenie doliny Khonakodar'i / gornoj Gissary";"Groups"
"1C8D1EE3-F763-4BFE-9AEB-3DFD6FC73E32";"naselenie dolinnoj Gissary";"Groups"
"CAC3B136-36D2-4426-AD27-F880EF0F79E4";"naselenie dolin r. Isfary";"Groups"
"606C5271-9F52-44D8-B45C-89651846A7F4";"zhensshiny severnogo Tadzhikistana / Northern Tajikistan women";"Groups"
"5FB8A1CD-6FDA-4B6D-820A-00D96BDFAF2B";"population of Ferghana";"Groups"
"4F801E37-A883-495B-88BE-DBD0FCE327A9";"afgony Gissarskogo, Shakhrinauskogo i Regarskogo rajonov Taj.";"Groups"
"BF91F91C-63E2-4857-B9DB-E7D043034757";"Historical groups";"Groups"
"8B064446-9B47-4681-B9E6-B60CCE1E1292";"tadzhikojazychnoe naselenie";"Groups"
"1CB216BA-B1A4-436F-B6BD-D54BB3BA4FD9";"kochevoe naselenie Tadzhikistana";"Groups"
"11E7806A-0C3B-4F44-8FE6-97D17FEC81FF";"osedloe naselenie severnogo Tadzhikistana";"Groups"
"157965F6-911F-41A5-B968-08960E8CD7F0";"sel'skoe naselenie Tadzh. / rural population of Tajikistan";"Groups"
"6E9C1803-34EC-490D-9BE3-BCF92D182524";"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"Groups"
"816D67C7-C16E-415F-91E8-D067B508BE42";"naselenie bassejna r. Varzob";"Groups"
"6B7F37B8-3CBF-48F0-A3BC-DBB6B374E615";"pripamirskie rajony / Pripamir'e";"Pamir"
"7482E40D-5E55-47AE-BF8B-846CDF22A04A";"dolina r. Khuf / Khuf";"Pamir"
"864F8878-76F2-44ED-931C-3660478EED04";"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"Pamir"
"05942D47-A931-47D9-B346-B472C832109F";"Rushan / Rushon";"Pamir"
"6A040993-C73C-4865-ACDF-AF6D03258A04";"Shugnan";"Pamir"
"6CCCF625-0794-4102-9EC6-37069D6BF254";"Ishkashim / Ishkashimskij rajon";"Pamir"
"CA511A72-FD40-48B8-A4B1-EC9A5011F82B";"ravninnye mesta Ishkashima";"Pamir"
