"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"vandzhcy / vandzhi / vanchcy";"slijanie / sblizhenie / fusion / convergence";"101108";"1965_6";"Pamir groups";"past: pre-Soviet";"Factual Statement by Author";NA
"tadzhiki";"slijanie / sblizhenie / fusion / convergence";"101108";"1965_6";"Groups";"past: pre-Soviet";"Factual Statement by Author";NA
"tadzhiki";"Sovietization";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki";"raskreposshenie zhensshin / liberation of women";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki";"modernization / socialist progress";"101176";"1955_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"tadzhiki";"Sovietization";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture"
"tadzhiki";"modernization / socialist progress";"102150";"1955_3";"Groups";"present";"Correction of cited research or literature";"Rupture"
"jazgulemcy";"slijanie / sblizhenie / fusion / convergence";"102626";"1965_6";"Pamir groups";"present";"Factual Statement by Author";NA
"tadzhiki";"slijanie / sblizhenie / fusion / convergence";"102626";"1965_6";"Groups";"present";"Factual Statement by Author";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"modernization / socialist progress";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"past: early Soviet";"Correction of cited research or literature";NA
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"modernization / socialist progress";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj";"present";"Correction of cited research or literature";NA
"Ferghana / Ferganskaja dolina";"modernization / socialist progress";"102750";"1955_3";"Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA
"Ferghana / Ferganskaja dolina";"modernization / socialist progress";"102750";"1955_3";"Northern Tajikistan";"present";"Correction of cited research or literature";NA
"tadzhiki";"slijanie / sblizhenie / fusion / convergence";"103286";"1965_6";"Groups";"past: early Soviet";"Factual Statement by Author";"Continuity"
"narodnosti Zapadnogo Pamira";"slijanie / sblizhenie / fusion / convergence";"103286";"1965_6";"Pamir groups";"past: early Soviet";"Factual Statement by Author";"Continuity"
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"slijanie / sblizhenie / fusion / convergence";"103732";"1965_6";"Locations";"past: early Soviet";NA;NA
"Tajikistan / TadzhSSR";"slijanie / sblizhenie / fusion / convergence";"103732";"1965_6";"Locations";"past: early Soviet";NA;NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"socialist internationalism / druzhba narodov";"104003";"1965_6";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"modernization / socialist progress";"104003";"1965_6";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"Tajikistan / TadzhSSR";"socialist internationalism / druzhba narodov";"104003";"1965_6";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"Tajikistan / TadzhSSR";"modernization / socialist progress";"104003";"1965_6";"Locations";"past: early Soviet";"Factual Statement by Author";NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"modernization / socialist progress";"104126";"1965_6";"Locations";"past: early Soviet";NA;NA
"Gorno-Badakhshan / Sovetskij Badakhshan / GBAO";"slijanie / sblizhenie / fusion / convergence";"104126";"1965_6";"Locations";"past: early Soviet";NA;NA
"pripamirskie narodnosti / narody / pripamircy";"slijanie / sblizhenie / fusion / convergence";"104610";"1971_4";"Pamir groups";"present";"Factual Statement by Author";"Continuity"
"pripamirskie narodnosti / narody / pripamircy";"slijanie / sblizhenie / fusion / convergence";"104610";"1971_4";"Pamir groups";"past: early Soviet";"Factual Statement by Author";"Continuity"
"tadzhiki";"slijanie / sblizhenie / fusion / convergence";"104610";"1971_4";"Groups";"present";"Factual Statement by Author";"Continuity"
"tadzhiki";"slijanie / sblizhenie / fusion / convergence";"104610";"1971_4";"Groups";"past: early Soviet";"Factual Statement by Author";"Continuity"
"pripamirskie narodnosti / narody / pripamircy";"forced assimilation / otadzhikovanie";"104947";"1989_5";"Pamir groups";NA;"Correction of cited research or literature";NA
"tadzhiki";"forced assimilation / otadzhikovanie";"104947";"1989_5";"Groups";NA;"Correction of cited research or literature";NA
"Tajikistan / TadzhSSR";"closing gap between city and countryside / village";"105412";"1955_3";"Locations";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"pripamirskie narodnosti / narody / pripamircy";"development of national in form, socialist in content culture";"105431";"1965_6";"Pamir groups";"present";"Factual Statement by Author";NA
"gorodskoe naselenie Tadzh. / urban population of Tajikistan";"slijanie / sblizhenie / fusion / convergence";"107066";"1962_3";"Groups";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Tajik women / tadzhichki";"slijanie / sblizhenie / fusion / convergence";"107066";"1962_3";"tadzhiki";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"pripamirskie tadzhiki";"development of national in form, socialist in content culture";"107584";"1965_6";"Pamir groups";"present";"Factual Statement by Author";"Continuity"
"gornye tadzhiki";"slijanie / sblizhenie / fusion / convergence";"108190";"1977_5";"groups in mountainous regions";"past: early Soviet";"Factual Statement by Author";NA
"gornye tadzhiki";"slijanie / sblizhenie / fusion / convergence";"108190";"1977_5";"groups in mountainous regions";"present";"Factual Statement by Author";NA
