"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation"
"Turkestan / Turkestanskij kraj / general-gubernatorstvo";"prisoedinenie Central'noj / Srednej Azii k Rossii";"110998";"1971_4";"Historical locations";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tadzhiki";"prisoedinenie Central'noj / Srednej Azii k Rossii";"127931";"1961_2";"Groups";NA;NA;NA
"Southern Tajikistan";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"159700";"1969_3";"Tajikistan / TadzhSSR";"past: pre-Soviet";NA;"Continuity"
"Southern Tajikistan";"prisoedinenie Vostochnoj Bukhary k Rossii";"159700";"1969_3";"Tajikistan / TadzhSSR";"past: pre-Soviet";NA;"Continuity"
"osedlye tadzhiki";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"193421";"1969_2";"tadzhiki";"past";NA;NA
"Leninabadskij rajon / oblast' / kraj";"prisoedinenie Central'noj / Srednej Azii k Rossii";"235918";"1955_4";"Northern Tajikistan";"past: pre-Soviet";NA;NA
"tadzhiki";"prisoedinenie Central'noj / Srednej Azii k Rossii";"25403";"1960_2";"Groups";"past: pre-Soviet";NA;NA
"gornye tadzhiki";"Arabskoe zavoevanie Srednej Azii i vnedrenie islama";"257552";"1957_2";"groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA
"Vakhan";"prisoedinenie Vostochnoj Bukhary k Rossii";"284450";"1971_1";"Pamir";"past: pre-Soviet";NA;"Continuity"
"Goron";"prisoedinenie Vostochnoj Bukhary k Rossii";"284450";"1971_1";"Pamir";"past: pre-Soviet";NA;"Continuity"
"Ishkashim / Ishkashimskij rajon";"prisoedinenie Vostochnoj Bukhary k Rossii";"284450";"1971_1";"Pamir";"past: pre-Soviet";NA;"Continuity"
"zhensshiny Kuljaba / women of Kuljab";"prisoedinenie Vostochnoj Bukhary k Rossii";"289052";"1973_5";"groups in mountainous regions";"past: pre-Soviet";NA;NA
"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"prisoedinenie Vostochnoj Bukhary k Rossii";"289052";"1973_5";"Historical locations";"past: pre-Soviet";NA;NA
"verkhovya Matchi";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA
"Karategin";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA
"Darvaz";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye rajony Kuljabskoj oblasti / mountainous regions Kuljab";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"Kuljabskaja oblast' / Kuljab";"past: pre-Soviet";"Factual Statement by Author";NA
"gornaja chast' Gissary / mountainous regions of Gissar";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"Gissar";"past: pre-Soviet";"Factual Statement by Author";NA
"Ferghana / Ferganskaja dolina";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA
"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"prisoedinenie Central'noj / Srednej Azii k Rossii";"292224";"1987_1";"Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA
"Karategin";"prisoedinenie Kokandskogo khanstva k Rossii";"298880";"1987_1";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";NA;NA
"Ferghana / Ferganskaja dolina";"prisoedinenie Kokandskogo khanstva k Rossii";"298880";"1987_1";"Northern Tajikistan";"past: pre-Soviet";NA;NA
"gorcy Tadzhikistana / mountaineers of Tajikistan";"prisoedinenie Kokandskogo khanstva k Rossii";"301592";"1987_1";"gornye tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA
"karategini Fergany / karategincy Fergany";"prisoedinenie Kokandskogo khanstva k Rossii";"301592";"1987_1";"population of Ferghana";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye tadzhiki";"prisoedinenie Kokandskogo khanstva k Rossii";"302344";"1987_1";"groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA
"gornye tadzhiki";"prisoedinenie Kokandskogo khanstva k Rossii";"302344";"1987_1";"groups in mountainous regions";"past: pre-Soviet";"Citation informant, local population, interviewee";NA
"karategini Fergany / karategincy Fergany";"prisoedinenie Kokandskogo khanstva k Rossii";"302344";"1987_1";"population of Ferghana";"past: pre-Soviet";"Factual Statement by Author";NA
"karategini Fergany / karategincy Fergany";"prisoedinenie Kokandskogo khanstva k Rossii";"302344";"1987_1";"population of Ferghana";"past: pre-Soviet";"Citation informant, local population, interviewee";NA
"gornye oblasti Tadzh. / mountainous regions of Tajikistan";"prisoedinenie Central'noj / Srednej Azii k Rossii";"311775";"1973_5";"Tajikistan / TadzhSSR";"past: pre-Soviet";"Factual Statement by Author";NA
"tadzhiki Surkhandar'inskoj oblasti (Uzbekistan)";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"374113";"1970_2";"Tajiks outside the Tajik SSR";"past: pre-Soviet";"Factual Statement by Author";NA
"tadzhiki Vakhio";"pre-Soviet migration from highlands to lowlands";"417025";"1954_3";"groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity"
"tadzhiki doliny Jakh-su";"pre-Soviet migration from highlands to lowlands";"417025";"1954_3";"groups in mountainous regions";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity"
"Ferghana / Ferganskaja dolina";"pre-Soviet migration from highlands to lowlands";"417695";"1954_3";"Northern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"Karategin";"pre-Soviet migration from highlands to lowlands";"417695";"1954_3";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture"
"vostochnaja chast' Bukharskogo khanstva";"prisoedinenie Vostochnoj Bukhary k Rossii";"422724";"1957_1";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"past: pre-Soviet";NA;NA
"Gissar";"prisoedinenie Vostochnoj Bukhary k Rossii";"422724";"1957_1";"Tajikistan / TadzhSSR";"past: pre-Soviet";NA;NA
"Kuljabskaja oblast' / Kuljab";"prisoedinenie Vostochnoj Bukhary k Rossii";"422724";"1957_1";"Southern Tajikistan";"past: pre-Soviet";NA;NA
"tadzhiki Vostochnoj Bukhary (Bukharskoe khanstvo)";"prisoedinenie Vostochnoj Bukhary k Rossii";"436707";"1953_2";"Historical groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"prisoedinenie Vostochnoj Bukhary k Rossii";"436707";"1953_2";"Historical groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tadzhiki Vostochnoj Bukhary (Bukharskoe khanstvo)";"prisoedinenie Vostochnoj Bukhary k Rossii";"436971";"1953_2";"Historical groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"prisoedinenie Kokandskogo khanstva k Rossii";"437353";"1953_2";"Historical groups";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tadzhiki Zeravshanskoj doliny";"prisoedinenie Kokandskogo khanstva k Rossii";"437353";"1953_2";"tadzhiki";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Tajik women / tadzhichki";"Arabskoe zavoevanie Srednej Azii i vnedrenie islama";"441272";"1953_2";"tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"tadzhiki Nuratinskogo khrebta";"pre-Soviet migration from highlands to lowlands";"46967";"1964_1";"groups in mountainous regions";"past: pre-Soviet";"Factual Statement by Author";NA
"Isfara";"prisoedinenie Central'noj / Srednej Azii k Rossii";"49854";"1982_3";"Ferghana / Ferganskaja dolina";"past: pre-Soviet";"Factual Statement by Author";NA
"Ura-Tjube";"prisoedinenie Central'noj / Srednej Azii k Rossii";"49854";"1982_3";"Ferghana / Ferganskaja dolina";"past: pre-Soviet";"Factual Statement by Author";NA
"Ura-Tjube";"prisoedinenie Central'noj / Srednej Azii k Rossii";"51688";"1982_3";"Ferghana / Ferganskaja dolina";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA
"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"pre-Soviet migration from highlands to lowlands";"54755";"1964_1";"Historical locations";"present";"Factual Statement by Author";"Continuity"
"tadzhiki Nuratinskogo khrebta";"pre-Soviet migration from highlands to lowlands";"54755";"1964_1";"groups in mountainous regions";"present";"Factual Statement by Author";"Continuity"
"gornye tadzhiki";"pre-Soviet migration from highlands to lowlands";"571824";"1954_4";"groups in mountainous regions";"past: Stalinist era / 1930s-40s";"Literature Review";"Continuity"
"gornye tadzhiki";"pre-Soviet migration from highlands to lowlands";"571824";"1954_4";"groups in mountainous regions";"past: pre-Soviet";"Literature Review";"Continuity"
