"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"100828";"1965_6";"Groups, Pamir groups";"past";"Factual Statement by Author";"Continuity";"language / spoken (incl. dialects)";"proximity / similarity"
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"101108";"1965_6";"Pamir groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii";NA
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"101108";"1965_6";"Pamir groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";NA
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"101108";"1965_6";"Pamir groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"trade / economic production";NA
"tadzhiki";"vandzhcy / vandzhi / vanchcy";"101435";"1965_6";"Groups, Pamir groups";"present";"Factual Statement by Author";NA;"external identification / designation";"proximity / similarity"
"jazgulemcy";"tadzhiki";"102626";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii";"influence"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"past: early Soviet";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenii / family life";"proximity / similarity"
"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Ferghana / Ferganskaja dolina";"102750";"1955_3";"Leninabadskij rajon / oblast' / kraj, Northern Tajikistan";"present";"Correction of cited research or literature";NA;"family structure / semejnye otnoshenii / family life";"proximity / similarity"
"jazgulemcy";"tadzhiki";"102924";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"external identification / designation";"difference"
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"102956";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"external identification / designation";"difference"
"narodnosti Zapadnogo Pamira";"tadzhiki";"103286";"1965_6";"Groups, Pamir groups";"past: early Soviet";"Factual Statement by Author";"Continuity";"kul'tura / kul'turnye tradicii";NA
"narodnosti Zapadnogo Pamira";"tadzhiki";"103286";"1965_6";"Groups, Pamir groups";"past: early Soviet";"Factual Statement by Author";"Continuity";"language / spoken (incl. dialects)";NA
"Gorno-Badakhshan / GBAO";"Tajikistan / TadzhSSR";"103732";"1965_6";"Locations, Locations";"past: early Soviet";NA;NA;"trade / economic production";NA
"pripamirskie narodnosti / narody / pripamircy";"tadzhiki";"104947";"1989_5";"Pamir groups, Groups";NA;"Factual Statement by Author";NA;"etnos / ethnos";"difference"
"gorodskoe naselenie Khoroga";"tadzhiki";"104979";"1965_6";"Pamir groups, Groups";"present";"Factual Statement by Author";NA;"byt / bytovyj uklad";NA
