"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"event_or_period"
"Goron";"Ishkashim / Ishkashimskij rajon";"284450";"1971_1";"Sovetskij Badakhshan / GBAO, Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"prisoedinenie Vostochnoj Bukhary k Rossii"
"Goron";"Vakhan";"284450";"1971_1";"Sovetskij Badakhshan / GBAO, Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"prisoedinenie Vostochnoj Bukhary k Rossii"
"Ishkashim / Ishkashimskij rajon";"Vakhan";"284450";"1971_1";"Sovetskij Badakhshan / GBAO, Sovetskij Badakhshan / GBAO";"past: pre-Soviet";NA;"Continuity";"prisoedinenie Vostochnoj Bukhary k Rossii"
"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"zhensshiny Kuljaba";"289052";"1973_5";"Groups, Historical locations";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"Karategin";"verkhovya Matchi";"292224";"1987_1";"gornye oblasti / rajony Tadzhikistana / gornyj Tadzhikistan, gornyj juzhnyj Tadzhikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"verkhovya Matchi";"292224";"1987_1";"gornye oblasti / rajony Tadzhikistana / gornyj Tadzhikistan, gornyj juzhnyj Tadzhikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornye rajony Kuljabskoj oblasti";"verkhovya Matchi";"292224";"1987_1";"gornye oblasti / rajony Tadzhikistana / gornyj Tadzhikistan, Kuljabskaja oblast' / Kuljab";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornaja chast' Gissary";"verkhovya Matchi";"292224";"1987_1";"gornye oblasti / rajony Tadzhikistana / gornyj Tadzhikistan, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"verkhovya Matchi";"292224";"1987_1";"gornye oblasti / rajony Tadzhikistana / gornyj Tadzhikistan, Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"verkhovya Matchi";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"gornye oblasti / rajony Tadzhikistana / gornyj Tadzhikistan, Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Darvaz";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzhikistan, gornyj juzhnyj Tadzhikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornye rajony Kuljabskoj oblasti";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzhikistan, Kuljabskaja oblast' / Kuljab";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"gornaja chast' Gissary";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzhikistan, Gissar";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Ferghana / Ferganskaja dolina";"Karategin";"292224";"1987_1";"gornyj juzhnyj Tadzhikistan, Northern Tajikistan";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"Karategin";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"292224";"1987_1";"gornyj juzhnyj Tadzhikistan, Historical locations";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
